add-none,1,1000,2000,97000,48,0
add-none,1,10000,20000,211000,10,0
add-none,1,100000,200000,938000,4,0
add-none,1,1,2,123000,61500,0
add-s,1,1,2,88000,44000,0
add-c,1,1,2,87000,43500,0
add-m,1,1,2,76000,38000,0
add-yield-none,1,1,2,100000,50000,0
add-yield-s,1,1,2,79000,39500,0
add-yield-c,1,1,2,109000,54500,0
add-yield-m,1,1,2,100000,50000,0
add-none,1,10,20,88000,4400,0
add-s,1,10,20,107000,5350,0
add-c,1,10,20,86000,4300,0
add-m,1,10,20,120000,6000,0
add-yield-none,1,10,20,71000,3550,0
add-yield-s,1,10,20,120000,6000,0
add-yield-c,1,10,20,105000,5250,0
add-yield-m,1,10,20,91000,4550,0
add-none,1,100,200,132000,660,0
add-s,1,100,200,129000,645,0
add-c,1,100,200,130000,650,0
add-m,1,100,200,158000,790,0
add-yield-none,1,100,200,118000,590,0
add-yield-s,1,100,200,246000,1230,0
add-yield-c,1,100,200,119000,595,0
add-yield-m,1,100,200,143000,715,0
add-none,1,1000,2000,100000,50,0
add-s,1,1000,2000,103000,51,0
add-c,1,1000,2000,105000,52,0
add-m,1,1000,2000,127000,63,0
add-yield-none,1,1000,2000,448000,224,0
add-yield-s,1,1000,2000,612000,306,0
add-yield-c,1,1000,2000,412000,206,0
add-yield-m,1,1000,2000,398000,199,0
add-none,1,10000,20000,214000,10,0
add-s,1,10000,20000,284000,14,0
add-c,1,10000,20000,329000,16,0
add-m,1,10000,20000,593000,29,0
add-yield-none,1,10000,20000,3821000,191,0
add-yield-s,1,10000,20000,4731000,236,0
add-yield-c,1,10000,20000,6265000,313,0
add-yield-m,1,10000,20000,15347000,767,0
add-none,1,100000,200000,1081000,5,0
add-s,1,100000,200000,2968000,14,0
add-c,1,100000,200000,3235000,16,0
add-m,1,100000,200000,7379000,36,0
add-yield-none,1,100000,200000,39098000,195,0
add-yield-s,1,100000,200000,56160000,280,0
add-yield-c,1,100000,200000,33528000,167,0
add-yield-m,1,100000,200000,37142000,185,0
add-none,2,1,4,91000,22750,0
add-s,2,1,4,84000,21000,0
add-c,2,1,4,90000,22500,0
add-m,2,1,4,160000,40000,0
add-yield-none,2,1,4,120000,30000,0
add-yield-s,2,1,4,129000,32250,0
add-yield-c,2,1,4,128000,32000,0
add-yield-m,2,1,4,159000,39750,0
add-none,2,10,40,101000,2525,0
add-s,2,10,40,115000,2875,0
add-c,2,10,40,103000,2575,0
add-m,2,10,40,343000,8575,0
add-yield-none,2,10,40,134000,3350,0
add-yield-s,2,10,40,117000,2925,0
add-yield-c,2,10,40,123000,3075,0
add-yield-m,2,10,40,456000,11400,0
add-none,2,100,400,121000,302,0
add-s,2,100,400,111000,277,0
add-c,2,100,400,125000,312,0
add-m,2,100,400,141000,352,0
add-yield-none,2,100,400,178000,445,0
add-yield-s,2,100,400,669000,1672,0
add-yield-c,2,100,400,227000,567,0
add-yield-m,2,100,400,2057000,5142,0
add-none,2,1000,4000,129000,32,0
add-s,2,1000,4000,256000,64,0
add-c,2,1000,4000,322000,80,0
add-m,2,1000,4000,4881000,1220,0
add-yield-none,2,1000,4000,1552000,388,10
add-yield-s,2,1000,4000,1346000,336,0
add-yield-c,2,1000,4000,2696000,674,0
add-yield-m,2,1000,4000,25115000,6278,0
add-none,2,10000,40000,549000,13,-6195
add-s,2,10000,40000,2664000,66,0
add-c,2,10000,40000,2402000,60,0
add-m,2,10000,40000,79281000,1982,0
add-yield-none,2,10000,40000,5048000,126,-3033
add-yield-s,2,10000,40000,13241000,331,0
add-yield-c,2,10000,40000,25689000,642,0
add-yield-m,2,10000,40000,266054000,6651,0
add-none,2,100000,400000,4250000,10,-55389
add-s,2,100000,400000,15028000,37,0
add-c,2,100000,400000,25988000,64,0
add-m,2,100000,400000,532585000,1331,0
add-yield-none,2,100000,400000,58081000,145,-9202
add-yield-s,2,100000,400000,234231000,585,0
add-yield-c,2,100000,400000,241110000,602,0
add-yield-m,2,100000,400000,2208426000,5521,0
add-none,4,1,8,140000,17500,0
add-s,4,1,8,122000,15250,0
